container	path_id	type	field_path	value
resources.assets	8279	MonoBehaviour	onMessage	Lola's "Afrikini" outfit and hairstyle unlocked!
resources.assets	8280	MonoBehaviour	onMessage	Jessie's "Naughty List" outfit and hairstyle unlocked!
resources.assets	8281	MonoBehaviour	onMessage	Lillian's "Candy Corn" outfit and hairstyle unlocked!
resources.assets	8282	MonoBehaviour	onMessage	Zoey's "Scarehoe" outfit and hairstyle unlocked!
resources.assets	8283	MonoBehaviour	onMessage	Sarah's "Cow Girl" outfit and hairstyle unlocked!
resources.assets	8284	MonoBehaviour	onMessage	Lailani's "Koimono" outfit and hairstyle unlocked!
resources.assets	8285	MonoBehaviour	onMessage	Candace's "Onahole" outfit and hairstyle unlocked!
resources.assets	8286	MonoBehaviour	onMessage	Nora's "Spiral Scout" outfit and hairstyle unlocked!
resources.assets	8287	MonoBehaviour	onMessage	Brooke's "Stars & Stripes" outfit and hairstyle unlocked!
resources.assets	8288	MonoBehaviour	onMessage	Ashley's "Clamouflage" outfit and hairstyle unlocked!
resources.assets	8289	MonoBehaviour	onMessage	Abia's "Morning Delight" outfit and hairstyle unlocked!
resources.assets	8290	MonoBehaviour	onMessage	Polly's "Tuxedo" outfit and hairstyle unlocked!
resources.assets	8291	MonoBehaviour	onMessage	Secret Code achievement unlocked!
resources.assets	8292	MonoBehaviour	onMessage	Location transition speed is now much faster!
resources.assets	8292	MonoBehaviour	offMessage	Location transition speed is back to normal!
resources.assets	8293	MonoBehaviour	onMessage	Abia's headwear replaced with alternate hairstyles!
resources.assets	8293	MonoBehaviour	offMessage	Abia's alternate hairstyles replaced with headwear!
resources.assets	8294	MonoBehaviour	onMessage	Alpha mode is now disabled across all save files.
resources.assets	8294	MonoBehaviour	offMessage	Alpha mode is now re-enabled across all save files.
resources.assets	8295	MonoBehaviour	onMessage	The screen will now display with a letterbox.
resources.assets	8295	MonoBehaviour	offMessage	The screen will now display without a letterbox.
resources.assets	8296	MonoBehaviour	steps[0].dialogLine.dialogText	Do you think they have wi-fi here?▸▸▸▸▸ I need to respond to a couple of e-mails.
resources.assets	8296	MonoBehaviour	steps[1].dialogOptions[0].dialogOptionText	I'm sure they do. It's pretty much everywhere these days.
resources.assets	8296	MonoBehaviour	steps[1].dialogOptions[0].steps[0].dialogLine.dialogText	That's a good point.▸▸▸▸▸▸▸▸ I just hope it's not password protected...
resources.assets	8296	MonoBehaviour	steps[1].dialogOptions[1].dialogOptionText	You brought your laptop with you?
resources.assets	8296	MonoBehaviour	steps[1].dialogOptions[1].steps[0].dialogLine.dialogText	My tablet,▸▸ technically.▸▸▸▸▸▸▸▸▸▸▸▸▸ You never know when you might be able to squeeze in a little work!
resources.assets	8296	MonoBehaviour	steps[1].dialogOptions[2].dialogOptionText	You shouldn't be working. You're on vacation!
resources.assets	8296	MonoBehaviour	steps[1].dialogOptions[2].steps[0].dialogLine.dialogText	Now what kind of attitude is that?
resources.assets	8296	MonoBehaviour	steps[2].dialogLine.dialogText	Vacation is no excuse to start being a lazy bum, right?▸▸▸▸▸ There's plenty I can do remotely.
resources.assets	8296	MonoBehaviour	steps[3].dialogLine.dialogText	It's better than falling behind,▸▸▸▸▸ even if it means I don't have QUITE as much time for recreation.
resources.assets	8297	MonoBehaviour	steps[0].dialogLine.dialogText	[aaaaaa]▸▸▸▸▸I think I'm starting to crash...▸▸▸▸▸▸▸ I wonder if there's a place I can grab a coffee around here...
